"STATION","NAME","DATE","TMAX","TMIN"
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-09",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-12",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-13",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-14",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-15",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-16",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-17",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-19",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-20",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-21",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-22",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-23",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-24",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-27",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-29",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-30",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-03-31",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-04",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-05",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-06",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-07",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-10",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-11",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-04-16",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-05-03",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-06-09",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-06-25",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-09-23",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-09-28",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-09-29",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-09-30",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-10-01",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-10-02",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-10-03",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-10-06",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-21",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-22",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-23",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-24",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-25",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-26",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-27",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-28",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-29",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-11-30",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-01",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-02",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-04",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-05",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-06",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-07",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-08",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-09",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-10",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-11",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-14",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-15",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-16",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-17",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-18",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-20",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-21",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-24",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-25",,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2018-12-30",,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-01","59","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-02","60","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-03","56","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-04","59","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-05","57","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-06","53","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-07","49","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-08","56","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-09","55","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-10","55","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-11","61","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-12","57","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-13","61","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-14","56","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-15","63","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-16","57","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-17","60","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-18","54","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-19","53","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-20","51","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-21","55","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-22","55","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-23","56","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-24","53","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-25","51","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-26","53","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-27","58","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-28","62","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-29","60","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-30","68","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-01-31","66","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-01","69","55"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-02","70","58"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-03","72","59"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-04","71","59"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-05","76","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-06","70","57"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-07","68","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-08","72","57"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-09","78","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-10","61","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-11","54","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-12","54","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-13","59","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-14","58","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-15","58","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-16","63","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-17","68","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-18","48","39"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-19","47","37"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-20","50","34"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-21","52","38"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-22","48","39"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-23","48","33"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-24","51","37"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-25","57","39"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-26","45","38"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-27","53","38"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-02-28","51","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-01","50","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-02","50","38"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-03","47","37"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-04","51","37"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-05","56","38"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-06","65","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-07","65","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-08","62","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-09","60","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-10","56","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-11","66","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-12","70","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-13","55","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-14","52","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-15","49","40"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-16","50","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-17","52","40"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-18","54","39"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-19","60","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-20","53","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-21","55","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-22","54","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-23","54","40"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-24","51","40"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-25","52","39"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-26","54","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-27","68","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-28","75","56"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-29","78","59"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-30","80","60"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-03-31","70","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-01","66","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-02","56","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-03","62","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-04","59","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-05","60","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-06","57","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-07","56","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-08","58","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-09","72","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-10","62","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-11","58","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-12","53","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-13","61","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-14","69","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-15","57","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-16","50","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-17","59","39"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-18","54","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-19","53","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-20","69","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-21","75","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-22","73","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-23","74","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-24","60","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-25","61","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-26","56","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-27","61","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-28","59","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-29","56","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-04-30","54","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-01","59","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-02","57","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-03","59","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-04","72","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-05","58","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-06","55","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-07","64","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-08","62","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-09","56","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-10","55","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-11","70","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-12","66","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-13","58","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-14","57","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-15","60","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-16","61","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-17","54","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-18","51","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-19","52","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-20","54","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-21","57","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-22","51","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-23","53","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-24","55","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-25","56","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-26","56","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-27","70","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-28","84","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-29","71","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-30","52","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-05-31","53","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-01","70","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-02","87","56"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-03","80","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-04","58","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-05","55","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-06","53","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-07","57","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-08","61","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-09","55","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-10","57","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-11","68","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-12","84","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-13","68","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-14","63","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-15","54","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-16","58","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-17","61","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-18","66","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-19","57","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-20","56","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-21","62","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-22","86","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-23","89","58"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-24","64","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-25","64","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-26","64","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-27","55","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-28","58","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-29","74","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-06-30","85","56"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-01","71","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-02","63","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-03","60","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-04","61","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-05","74","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-06","79","57"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-07","75","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-08","65","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-09","71","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-10","72","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-11","75","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-12","78","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-13","73","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-14","67","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-15","65","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-16","68","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-17","69","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-18","76","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-19","85","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-20","70","58"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-21","74","56"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-22","69","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-23","72","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-24","69","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-25","76","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-26","61","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2018-07-27","60","50"
